법령명,조문명
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제28조 과태료
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제27조 양벌규정
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제26조 벌칙
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제26조 제7장 벌칙
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제25조 벌칙 적용에서 공무원 의제
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제24조 권한 또는 업무의 위임ㆍ위탁
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제23조 시정명령 및 인증 취소
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제22조 지도 및 감독 등
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제21조 제6장 조사ㆍ감독 등
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제21조 실태조사
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제20조 가사근로자 권익 증진에 관한 중요사항 심의
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제19조 전산시스템의 구축ㆍ운영
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제18조 제5장 가사서비스의 촉진
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제18조 조세 감면 및 사회보험료 지원
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제17조 입주가사근로자에 관한 특례
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제16조 유급휴일 및 연차 유급휴가
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제15조 최소근로시간
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제14조 제4장 가사근로자의 근로조건
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제14조 근로조건의 명시
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제13조 결격사유 확인을 위한 범죄경력 조회
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제12조 아동의 보호ㆍ양육 서비스 제공 가사근로자의 결격사유
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제11조 제3장 가사서비스의 제공
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제11조 가사서비스의 이용계약
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제10조 가사서비스 제공기관의 휴업 및 폐업 등
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제9조 가사서비스 제공기관의 준수사항
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제8조 결격사유
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제7조 제2장 가사서비스 제공기관
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제7조 가사서비스 제공기관의 인증
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제6조 다른 법률과의 관계
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제5조 적용 범위
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제4조 가사근로자의 권익 증진
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제3조 국가 등의 지원
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제2조 정의
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제1조 목적
"가사근로자의 고용개선 등에 관한 법률[시행2022. 6. 16.] [법률 제18285호,2021. 6. 15., 제정]",제1조 제1장 총칙
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제12조 과태료의 부과기준
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제11조 민감정보 및 고유식별정보의 처리
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제10조 업무의 위탁
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제9조 권한의 위임
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제8조 고용보험료 등의 지원
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제7조 유급휴일 및 연차 유급휴가
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제6조 경영상 불가피한 경우
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제5조 가사근로자의 요구에 따른 서면 교부
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제4조 근로계약 체결 시 명시해야 할 근로조건
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제3조 범죄경력조회
"가사근로자의 고용개선 등에 관한 법률 시행령[시행2024. 12. 31.] [대통령령 제35172호,2024. 12. 31., 타법개정]",제2조 가사서비스 제공기관의 인증 요건
